,id,tackles_r_count,offsides_r_count,total_shots_l,yellow_cards_r_count,shots_on_target_l,corners_l_count,goals_r_count,shots_on_target_r,passes_r,tackles_l_count,possession_l,goals_l_count,corners_r_count,passes_l,yellow_cards_l_count,free_kicks_r_count,free_kicks_l_count,fouls_r_count,offsides_l_count,ball_on_side_l,outlier,score
953,100954,37,0,18,1,12,2,1,7,274,29,63,1,0,671,0,8,3,3,0,44,1,-1.1936959444926165
954,100955,38,0,2,0,2,1,0,0,160,13,80,0,0,1023,0,3,3,4,0,47,1,-1.0802513979656594
955,100956,24,0,22,0,35,0,3,0,246,20,70,3,0,886,0,7,2,2,1,49,1,-1.028521834451043
956,100957,21,0,0,0,1,2,1,5,271,29,57,0,0,684,2,10,2,1,0,74,1,-1.1015347922371659
957,100958,29,1,20,0,35,0,1,7,246,27,62,1,0,714,1,10,2,1,0,59,1,-1.066711756297156
958,100959,27,0,9,0,48,0,0,6,231,17,69,1,1,764,1,7,5,4,0,53,1,-1.0293190395676797
959,100960,28,0,1,0,11,0,1,3,202,13,69,0,0,788,0,6,2,2,1,60,1,-0.9858712527334444
960,100961,28,0,54,0,43,1,0,0,211,14,66,0,1,858,0,7,3,2,0,50,1,-1.1062393821933956
961,100962,37,0,3,0,6,3,1,4,195,17,73,1,0,819,1,5,1,1,1,55,1,-1.007507864640652
962,100963,20,0,15,0,27,1,0,11,340,28,60,1,0,624,1,11,3,3,1,56,1,-1.0259012416831585
963,100964,37,0,35,0,31,2,0,0,215,11,76,2,0,810,0,2,5,5,0,45,1,-1.0592652238176448
964,100965,21,0,2,0,28,0,2,4,292,24,72,1,0,880,0,6,2,1,0,53,1,-0.9842320265370995
965,100966,28,0,27,0,22,2,4,7,203,20,63,2,0,762,1,11,0,0,0,58,1,-1.1329136809989098
966,100967,26,0,13,0,48,1,1,0,215,19,71,2,0,862,1,6,1,1,0,44,1,-0.9857044239263466
967,100968,35,0,26,0,85,0,0,0,245,18,71,2,1,776,1,7,3,2,0,45,1,-1.1118522805793025
968,100969,30,0,32,0,14,2,0,0,250,22,68,2,0,744,0,7,1,1,1,31,1,-1.0112068019915823
969,100970,44,0,31,1,26,1,1,6,206,16,72,1,0,855,0,5,3,2,0,63,1,-1.250666366808262
970,100971,30,0,1,0,26,0,1,11,205,21,69,2,2,800,0,6,4,4,0,50,1,-1.165957209986794
971,100972,31,0,9,1,36,1,0,2,290,22,62,2,0,812,0,9,3,3,0,51,1,-1.166263036083207
972,100973,17,0,18,0,57,1,1,7,281,20,58,4,1,635,4,11,1,1,0,52,1,-1.4015524973239784
973,100974,35,0,19,0,36,1,2,5,289,22,62,0,1,759,1,8,3,3,0,56,1,-1.021563489885823
974,100975,24,1,17,0,30,3,1,2,325,26,60,2,1,632,0,9,4,2,0,46,1,-1.1001473920803753
975,100976,42,0,2,0,2,1,2,0,280,20,67,1,0,807,1,8,3,3,0,52,1,-1.003746355372086
976,100977,18,1,1,1,9,0,1,9,257,29,59,1,1,765,0,9,5,3,0,76,1,-1.2958084812298034
977,100978,18,0,17,0,19,2,2,3,247,24,69,0,0,765,0,8,3,4,1,50,1,-0.9897515270489354
978,100979,34,0,8,0,6,0,0,2,195,17,79,1,0,991,1,4,2,1,0,62,1,-1.021504398313192
979,100980,25,0,7,0,21,1,1,1,265,36,64,0,0,923,0,12,2,2,0,71,1,-1.0578922797211567
980,100981,23,0,15,0,3,0,0,0,244,18,73,0,1,898,0,4,2,2,0,56,1,-1.0089141701041842
981,100982,28,0,13,0,24,0,1,0,239,15,72,1,0,958,2,8,3,3,0,62,1,-1.0169311253804298
982,100983,27,0,3,0,16,0,1,0,297,30,68,2,0,868,0,7,5,1,0,69,1,-1.03165939847101
983,100984,29,0,21,0,26,1,1,9,248,21,70,1,0,778,1,7,2,1,0,51,1,-0.9732606270761888
