,id,tackles_r_count,offsides_r_count,total_shots_l,yellow_cards_r_count,shots_on_target_l,corners_l_count,goals_r_count,shots_on_target_r,passes_r,tackles_l_count,possession_l,goals_l_count,corners_r_count,passes_l,yellow_cards_l_count,free_kicks_r_count,free_kicks_l_count,fouls_r_count,offsides_l_count,ball_on_side_l,score,outlier
719,100720,28,0,11,0,23,2,2,4,249,31,63,0,0,713,0,13,2,1,0,47,0.15341100739345798,1
720,100721,39,0,31,0,17,5,0,9,244,19,59,1,0,671,0,11,4,3,2,40,0.07747517991649228,1
721,100722,25,0,16,0,29,2,1,5,334,26,55,1,1,579,0,13,1,0,1,51,0.10595887093456263,1
722,100723,31,0,2,0,30,1,1,0,243,20,74,1,0,940,0,4,2,2,0,58,0.15383427318217063,1
723,100724,29,0,21,0,17,0,1,0,216,24,67,1,0,793,1,7,4,3,0,49,0.1750041961365562,1
724,100725,35,0,35,0,30,1,0,1,248,15,73,2,0,789,0,10,3,1,0,33,0.15496198571118086,1
725,100726,7,1,5,0,3,1,3,13,318,24,52,0,2,601,0,11,3,0,1,70,-0.036560384686533665,-1
726,100727,25,1,23,0,19,2,0,7,358,24,60,0,1,641,0,8,2,1,0,45,0.10548898223580377,1
727,100728,29,0,21,1,43,1,0,0,316,29,63,1,0,806,2,9,5,5,0,49,0.08345172138066065,1
728,100729,34,1,27,0,43,5,1,0,212,16,69,1,0,790,0,7,4,3,1,43,0.09856331010469466,1
729,100730,20,0,27,0,35,0,1,0,203,9,73,1,0,970,0,5,4,2,0,50,0.13777199969380277,1
730,100731,28,1,13,0,44,0,2,1,230,21,65,2,0,704,1,10,5,4,0,46,0.09881372186708981,1
731,100732,31,0,33,0,37,3,2,0,269,28,65,0,0,677,0,10,2,2,0,45,0.1377104596948991,1
732,100733,26,0,21,0,31,1,3,7,260,16,73,0,0,815,1,5,2,1,1,55,0.13266378638627918,1
733,100734,24,0,11,0,11,0,1,3,199,18,68,1,0,878,0,5,4,6,0,48,0.15465703801808584,1
734,100735,22,0,6,0,47,0,0,7,302,22,61,0,0,806,0,8,4,1,1,66,0.1232467591502111,1
735,100736,22,0,5,0,0,0,1,11,252,27,58,0,1,677,1,11,1,0,1,73,0.04810697309153045,1
736,100737,24,0,10,0,17,1,1,2,168,15,74,1,0,1012,0,3,3,3,1,59,0.12742596042038712,1
737,100738,30,0,1,0,18,2,1,2,209,16,67,1,1,768,0,9,3,3,0,47,0.1540052811627874,1
738,100739,26,0,12,0,19,4,2,2,312,22,62,0,0,671,1,9,0,0,1,44,0.11316674887096256,1
739,100740,27,0,18,0,9,3,1,1,160,6,78,0,0,877,0,5,4,3,1,48,0.11656865855379,1
740,100741,37,0,10,0,19,0,0,4,197,19,72,0,0,892,0,5,3,3,0,61,0.14802565032065773,1
741,100742,18,0,8,0,42,0,3,13,337,29,57,3,0,770,1,8,2,1,0,65,0.07564918622649475,1
742,100743,23,0,15,0,33,1,1,4,230,23,64,1,0,812,0,9,2,1,1,50,0.19146478650631205,1
743,100744,26,0,6,0,60,1,0,3,263,19,73,3,0,836,0,9,5,3,0,40,0.13496150732181283,1
744,100745,27,0,26,0,43,1,1,2,325,26,59,2,0,702,0,13,5,2,1,49,0.1384564650500587,1
745,100746,31,0,3,1,21,0,1,3,263,22,63,0,0,908,2,9,3,2,0,68,0.08282905533457513,1
746,100747,20,0,23,0,39,3,0,0,264,20,68,4,0,766,0,5,1,0,0,51,0.1405650886618851,1
747,100748,20,0,26,0,60,1,0,4,401,33,56,3,1,586,0,16,1,1,0,40,0.06452573164637643,1
748,100749,17,0,32,0,45,4,0,0,249,31,62,0,0,570,0,11,3,3,0,43,0.10782466899997484,1
749,100750,28,0,20,0,25,0,0,0,214,21,74,2,0,986,0,6,0,2,0,58,0.12336046400140083,1
750,100751,27,0,3,0,23,1,0,4,338,22,57,2,0,712,0,8,0,0,0,46,0.14751042488461097,1
751,100752,17,0,17,0,16,0,1,0,266,22,64,0,0,799,2,11,1,1,0,49,0.1359129659906046,1
752,100753,16,0,24,0,29,2,0,12,411,25,51,1,0,535,0,12,1,1,0,46,0.0774335039493112,1
